x	low_nr	mid_nr	high_nr	low_er	mid_er	high_er
23.47826086956522	3.1623505074443807	3.289178927690961	3.40887363251521	3.3904838152735435	3.520471872873877	3.653785923508395
23.779264214046826	3.165941117018943	3.292110146881332	3.411207845082242	3.3935886346334665	3.523659254947549	3.6571130368022247
24.08026755852843	3.169473784726953	3.294994801746811	3.413506393215563	3.3966655123752436	3.5268166568064783	3.660408557176094
24.381270903010034	3.172949997050104	3.2978340621683464	3.415770134948747	3.3997150048979194	3.529944592631063	3.6636729128208243
24.68227424749164	3.176371190054217	3.3006290591629464	3.4179999010103153	3.402737653925247	3.5330435649104968	3.6669065242241285
24.983277591973245	3.1797387515086677	3.30338088648423	3.420196495901316	3.405733986986351	3.536114064773176	3.6701098043430567
25.284280936454852	3.183054022899786	3.306090602144528	3.4223606989222777	3.408704517877626	3.5391565723059673	3.6732831587718326
25.585284280936456	3.186318301344363	3.308759229862979	3.424493265152279	3.411649747106712	3.5421715568627654	3.67642698590522
25.886287625418063	3.1895328414090067	3.311387760443786	3.426594926382728	3.4145701623193587	3.5451594773627653	3.679541677097558
26.187290969899667	3.1926988568407033	3.313977153088531	3.4286663920082723	3.4174662387099364	3.54812078257884	3.682627616817599
26.48829431438127	3.1958175222135954	3.3165283366462024	3.4307083498771185	3.4203384394163296	3.5510559114164058	3.6856851827992814
26.78929765886288	3.198889974496682	3.3190422108043522	3.4327214671029083	3.423187215899893	3.5539652931831447	3.688714746188553
27.090301003344482	3.201917314546822	3.3215196472245987	3.434706390840151	3.4260130083111284	3.5568493478499237	3.691716671686374
27.39130434782609	3.2049006085311733	3.3239614906254764	3.436663749025125	3.4288162458417073	3.55970848630325	3.6946913176880085
27.692307692307693	3.2078408892829207	3.326368559815471	3.4385941510840072	3.4315973470634242	3.56254311058958	3.697639036418721
27.9933110367893	3.210739157593912	3.328741648678879	3.4404981886099333	3.43435672025465	3.565353614151782	3.7005601740659824
28.294314381270905	3.213596383447613	3.331081527117002	3.4423764360105444	3.437094763714814	3.568140382058055	3.7034550709082925
28.595317725752512	3.2164135071955586	3.3333889419470033	3.4442294511275287	3.439811866067431	3.5709037912235737	3.706324061440716
28.896321070234116	3.2191914406803046	3.335664617760644	3.4460577758295474	3.442508406552146	3.57364421062513	3.7091674744972334
