time weight xerror yerror
732.0 2.0 0.8 1.4142135623730951
733.6 4.0 0.8 2.0
735.2 4.0 0.8 2.0
736.8 2.0 0.8 1.4142135623730951
738.4 4.0 0.8 2.0
740.0 3.0 0.8 1.7320508075688774
741.6 3.0 0.8 1.7320508075688774
743.2 3.0 0.8 1.7320508075688774
744.8 0.0 0.8 0.0
746.4 3.0 0.8 1.7320508075688774
748.0 1.0 0.8 1.0
749.6 4.0 0.8 2.0
751.2 5.0 0.8 2.23606797749979
752.8 0.0 0.8 0.0
754.4 1.0 0.8 1.0
756.0 1.0 0.8 1.0
757.6 2.0 0.8 1.4142135623730951
759.2 1.0 0.8 1.0
760.8 2.0 0.8 1.4142135623730951
762.4 2.0 0.8 1.4142135623730951
764.0 2.0 0.8 1.4142135623730951
765.6 3.0 0.8 1.7320508075688774
767.2 3.0 0.8 1.7320508075688774
768.8 4.0 0.8 2.0
770.4 2.0 0.8 1.4142135623730951
772.0 7.0 0.8 2.6457513110645907
773.6 2.0 0.8 1.4142135623730951
775.2 3.0 0.8 1.7320508075688774
776.8 3.0 0.8 1.7320508075688774
778.4 3.0 0.8 1.7320508075688774
780.0 1.0 0.8 1.0
781.6 1.0 0.8 1.0
783.2 1.0 0.8 1.0
784.8 2.0 0.8 1.4142135623730951
786.4 3.0 0.8 1.7320508075688774
788.0 1.0 0.8 1.0
789.6 1.0 0.8 1.0
791.2 6.0 0.8 2.449489742783178
792.8 1.0 0.8 1.0
794.4 3.0 0.8 1.7320508075688772
796.0 3.0 0.8 1.7320508075688774
797.6 1.0 0.8 1.0
799.2 2.0 0.8 1.4142135623730951
800.8 4.0 0.8 2.0
802.4 4.0 0.8 2.0
804.0 3.0 0.8 1.7320508075688774
805.6 0.0 0.8 0.0
807.2 4.0 0.8 2.0
808.8 4.0 0.8 2.0
810.4 5.0 0.8 2.23606797749979
812.0 2.0 0.8 1.4142135623730951
813.6 3.0 0.8 1.7320508075688774
815.2 1.0 0.8 1.0
816.8 1.0 0.8 1.0
818.4 4.0 0.8 2.0
820.0 2.0 0.8 1.4142135623730951
821.6 4.0 0.8 2.0
823.2 0.0 0.8 0.0
824.8 0.0 0.8 0.0
826.4 0.0 0.8 0.0
828.0 1.0 0.8 1.0
829.6 1.0 0.8 1.0
831.2 3.0 0.8 1.7320508075688774
832.8 4.0 0.8 1.9999999999999998
834.4 0.0 0.8 0.0
836.0 1.0 0.8 1.0
837.6 2.0 0.8 1.4142135623730951
839.2 1.0 0.8 1.0
840.8 2.0 0.8 1.4142135623730951
842.4 0.0 0.8 0.0
844.0 2.0 0.8 1.4142135623730951
845.6 8.0 0.8 2.8284271247461903
847.2 2.0 0.8 1.4142135623730951
